Sr.No.,Author,,,,Title,,,,,,,Copies,,,,
1,Jadon Vijay Kumar,,,,Machine design data book,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
2,Jadon Vijay Kumar,,,,Machine design data book,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
3,Jadon Vijay Kumar,,,,Machine design data book,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
4,Jadon Vijay Kumar,,,,Machine design data book,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
5,Jadon Vijay Kumar,,,,Machine design data book,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
6,Kumar K Murugesh,,,,DC Machines and transformers,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
7,Ramjee V,,,,Fluid mechanics and its applications,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
8,Ramjee V,,,,Fluid mechanics and its applications,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
9,Nag P K,,,,Power plant engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
10,Nag P K,,,,Power plant engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
11,Technical Teachers' Training Institute,,,,Civil Engineering Materials,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12,Technical Teachers' Training Institute,,,,Civil Engineering Materials,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13,Technical Teachers' Training Institute,,,,Civil Engineering Materials,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14,Fontana Mars G,,,,Corrosion engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
15,Fontana Mars G,,,,Corrosion engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
16,Heine Richard W,,,,Principles of metal casting,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
17,Heine Richard W,,,,Principles of metal casting,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
18,Hicks Tyler G,,,,Pump operation and maintenance,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
19,Hicks Tyler G,,,,Pump operation and maintenance,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
20,Sarkar B K,,,,Strength of materials,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
21,Sarkar B K,,,,Strength of materials,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
22,Malhotra Narendra,,,,World Famous Disasters,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
23,Malhotra Narendra,,,,World Famous Disasters,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
24,Waugh William L,,,,Handbook of disaster management : An introduction to emergency management,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
25,Sone Yoshio,,,,"Kinetic Theory and Fluid Dynamics : Modeling and Simulation in Science, Engineering an",,,,,,,1,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
26,Kalinin E K,,,,Efficient surfaces for heat exchangers : Fundamentals and design,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
27,Kiselev Sergey,,,,Foundations of fluid mechanics with applications : Problem solving using mathematica,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
28,Palanichamy M S,,,,Basic civil engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
29,Palanichamy M S,,,,Basic civil engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
30,Palanichamy M S,,,,Basic civil engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
31,Wood Michael F,,,,Pollution prevention software systems handbook,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
32,Basak N N,,,,Irrigation engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
33,Basak N N,,,,Irrigation engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
34,Ramalingam K K,,,,Steam tables : In SI units,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
35,Ramalingam K K,,,,Steam tables : In SI units,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
36,Ramalingam K K,,,,Steam tables : In SI units,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
37,Prabhu T J,,,,Basic mechanical engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
38,Prabhu T J,,,,Basic mechanical engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
39,Prabhu T J,,,,Basic mechanical engineering,,,,,,,1,,,,
40,Kannaiah P,,,,Machine design,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
41,Kannaiah P,,,,Machine design,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
42,Kannaiah P,,,,Machine design,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
43,Garde R J,,,,Engineering fluid mechanics,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
44,Garde R J,,,,Engineering fluid mechanics,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
45,Garde R J,,,,Engineering fluid mechanics,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
46,Haran Sheila C,,,,Synchronous induction and special machines,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
47,Haran Sheila C,,,,Synchronous induction and special machines,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
48,Ramalingam K K,,,,Automobile engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
49,Ramalingam K K,,,,Automobile engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
50,Ramalingam K K,,,,Automobile engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
51,Ramalingam K K,,,,Power plant engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
52,Ramalingam K K,,,,Power plant engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
53,Ramalingam K K,,,,Power plant engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
54,Bolton W,,,,Mechatronics : Electronic control systems in mechanical and electrical Engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
55,Bolton W,,,,Mechatronics : Electronic control systems in mechanical and electrical Engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
56,Bolton W,,,,Mechatronics : Electronic control systems in mechanical and electrical Engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
57,Singh Sadhu,,,,Theory of machines,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
58,Singh Sadhu,,,,Theory of machines,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
59,Balachandram Balakumar,,,,Vibrations,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
60,Balachandram Balakumar,,,,Vibrations,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
61,Henry J Glynn,,,,Environmental science and engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
62,Henry J Glynn,,,,Environmental science and engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
63,Henry J Glynn,,,,Environmental science and engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
64,Davletshina Tatyana A,,,,Fire and explosion hazards handbook of industrial,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
65,Noyes Robert,,,,Unit operations in environmental engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
66,Koren Herman,,,,Handbook of environmental health and safety Vol 1 : Principles and practices,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
67,Koren Herman,,,,Handbook of environmental health and safety Vol II : Principles and practices,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
68,Bailey Norman,,,,Weldability of ferritic steels,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
69,Jiji Latif M,,,,Heat conduction,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
70,Granjon H,,,,Fundamemtals of welding metallurgy,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
71,Swarnkar Pankaj,,,,Control system engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
72,Swarnkar Pankaj,,,,Control system engineering,,,,,,,1,,,,
,,,,,,,,,,,,,,,,
